name,lines,type,latitude,longitude
15 ST-PROSPECT,FG,IND,40.660376,-73.979509
AVE U,N,BMT,40.597482,-73.979359
86 ST,N,BMT,40.592676,-73.978243
DITMAS AVE,F,IND,40.63615,-73.978179
DITMAS AVE,F,IND,40.63615,-73.978179
57 ST,F,IND,40.763625,-73.977449
ATLANTIC AVE,2345BDNQR,BMT,40.684063,-73.977417
ATLANTIC AVE,BDNQR2345,BMT,40.684063,-73.977417
PACIFIC ST,BDNQR2345,BMT,40.684063,-73.977417
ATLANTIC AVE,2345BDNQR,IRT,40.684063,-73.977417
18 AVE,F,IND,40.629881,-73.977149
18 AVE,F,IND,40.629881,-73.977149
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
42 ST-GRD CNTRL,4567S,IRT,40.751849,-73.976945
72 ST,BC,IND,40.775545,-73.976398
86 ST,1,IRT,40.788844,-73.97599
86 ST,1,IRT,40.788844,-73.97599
86 ST,1,IRT,40.788844,-73.97599
W 8 ST-AQUARIUM,FQ,BMT,40.576152,-73.975925
W 8 ST-AQUARIUM,FQ,BMT,40.576152,-73.975925
FT HAMILTON PKY,FG,IND,40.650722,-73.975818
FT HAMILTON PKY,FG,IND,40.650722,-73.975818
AVE I,F,IND,40.625305,-73.975732
22 AVE-BAY PKY,F,IND,40.620907,-73.975453
FULTON ST,G,IND,40.68713,-73.975346
5 AVE-53 ST,EM,IND,40.760179,-73.975196
5 AVE-53 ST,EM,IND,40.760179,-73.975196
BERGEN ST,23,IRT,40.680801,-73.975132
BERGEN ST,23,IRT,40.680801,-73.975132
NEPTUNE AVE,F,IND,40.580992,-73.974531
AVE X,F,IND,40.589547,-73.974295
AVE N,F,IND,40.615174,-73.974166
AVE N,F,IND,40.615174,-73.974166
LAFAYETTE AVE,C,IND,40.68617,-73.973908
5 AVE-59 ST,NQR,BMT,40.764909,-73.973372
5 AVE-59 ST,NQR,BMT,40.764909,-73.973372
AVE U,F,IND,40.596065,-73.973329
AVE P,F,IND,40.609147,-73.972986
7 AVE,BQ,BMT,40.677172,-73.972514
96 ST,123,IRT,40.79388,-73.972363
96 ST,123,IRT,40.79388,-73.972363
KINGS HIGHWAY,F,IND,40.603234,-73.972342
KINGS HIGHWAY,F,IND,40.603234,-73.972342
81 ST-MUSEUM,BC,IND,40.781435,-73.972149
81 ST-MUSEUM,BC,IND,40.781435,-73.972149
51 ST,6,IRT,40.757108,-73.97187
51 ST,6,IRT,40.757108,-73.97187
51 ST,6,IRT,40.757108,-73.97187
GRAND ARMY PLAZ,23,IRT,40.675219,-73.971012
LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
LEXINGTON-53 ST,EM6,IND,40.75753,-73.969102
86 ST,BC,IND,40.785822,-73.968952
86 ST,BC,IND,40.785822,-73.968952
OCEAN PARKWAY,Q,BMT,40.576298,-73.968523
OCEAN PARKWAY,Q,BMT,40.576298,-73.968523
103 ST,1,IRT,40.799354,-73.968329
LEXINGTON AVE,456NQR,BMT,40.762796,-73.967686
LEXINGTON AVE,456NQR,BMT,40.762796,-73.967686
59 ST,456NQR,IRT,40.762796,-73.967686
59 ST,456NQR,IRT,40.762796,-73.967686
59 ST,456NQR,IRT,40.762796,-73.967686
59 ST,456NQR,IRT,40.762796,-73.967686
CLINTON-WASH AV,G,IND,40.688123,-73.966742
110 ST-CATHEDRL,1,IRT,40.804032,-73.966742
110 ST-CATHEDRL,1,IRT,40.804032,-73.966742
LEXINGTON AVE,F,IND,40.764763,-73.966291
CLINTON-WASH AV,C,IND,40.683263,-73.965838
CLINTON-WASH AV,C,IND,40.683263,-73.965838
96 ST,BC,IND,40.791654,-73.964682
96 ST,BC,IND,40.791654,-73.964682
BEVERLEY ROAD,BQ,BMT,40.643982,-73.96451
EASTERN PKWY,23,IRT,40.672013,-73.96436
116 ST-COLUMBIA,1,IRT,40.80819,-73.964124
68ST-HUNTER COL,6,IRT,40.768143,-73.964016
RIT-MANHATTAN,R,RIT,40.761268,-73.964016
CORTELYOU ROAD,BQ,BMT,40.640905,-73.963866
CHURCH AVE,BQ,BMT,40.650494,-73.962836
CHURCH AVE,BQ,BMT,40.650494,-73.962836
NEWKIRK AVE,BQ,BMT,40.635059,-73.962793
PROSPECT PARK,BQS,BMT,40.661596,-73.962193
PROSPECT PARK,BQS,BMT,40.661596,-73.962193
BRIGHTON BEACH,BQ,BMT,40.577961,-73.961806
BRIGHTON BEACH,BQ,BMT,40.577961,-73.961806
AVE H,BQ,BMT,40.629164,-73.961678
103 ST,BC,IND,40.796105,-73.961399
PARKSIDE AVE,BQ,BMT,40.655053,-73.961227
AVE J,BQ,BMT,40.625028,-73.960819
CLASSON AVE,G,IND,40.688855,-73.960025
77 ST,6,IRT,40.773636,-73.959875
77 ST,6,IRT,40.773636,-73.959875
AVE M,BQ,BMT,40.617568,-73.95936
BOTANIC GARDEN,S2345,BMT,40.670499,-73.958759
125 ST,1,IRT,40.815596,-73.958395
CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
FRANKLIN AVE,2345S,IRT,40.670711,-73.958051
PARK PLACE,S,BMT,40.67491,-73.957794
KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
MARCY AVE,JMZ,BMT,40.708377,-73.957751
MARCY AVE,JMZ,BMT,40.708377,-73.957751
BEDFORD AVE,L,BMT,40.717241,-73.956614
FRANKLIN AVE,ACS,IND,40.681159,-73.956056
FRANKLIN AVE,ACS,IND,40.681159,-73.956056
AVE U,BQ,BMT,40.599307,-73.955916
86 ST,456,IRT,40.779485,-73.955541
86 ST,456,IRT,40.779485,-73.955541
NECK ROAD,BQ,BMT,40.595234,-73.95509
116 ST,BC,IND,40.805072,-73.954833
116 ST,BC,IND,40.805072,-73.954833
GREENPOINT AVE,G,IND,40.731324,-73.954425
GREENPOINT AVE,G,IND,40.731324,-73.954425
SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
RIT-ROOSEVELT,R,RIT,40.7574,-73.954006
137 ST-CITY COL,1,IRT,40.821994,-73.953674
137 ST-CITY COL,1,IRT,40.821994,-73.953674
VERNON/JACKSON,7,IRT,40.742624,-73.953545
VERNON/JACKSON,7,IRT,40.742624,-73.953545
VERNON/JACKSON,7,IRT,40.742624,-73.953545
HEWES ST,JM,BMT,40.706994,-73.953481
BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
ROOSEVELT IS,F,IND,40.759123,-73.953266
125 ST,ACBD,IND,40.811056,-73.952386
125 ST,ACBD,IND,40.811056,-73.952386
110 ST-CPN,23,IRT,40.79911,-73.951807
LORIMER ST,GL,BMT,40.713875,-73.951592
METROPOLITAN AV,GL,IND,40.713875,-73.951592
NASSAU AV,G,IND,40.724608,-73.951271
96 ST,6,IRT,40.785822,-73.95097
PRESIDENT ST,25,IRT,40.667879,-73.950648
STERLING ST,25,IRT,40.662752,-73.950605
NOSTRAND AVE,3,IRT,40.669735,-73.950455
145 ST,1,IRT,40.826426,-73.950412
145 ST,1,IRT,40.826426,-73.950412
BROADWAY,G,IND,40.7061,-73.950348
NOSTRAND AVE,AC,IND,40.68041,-73.950326
NOSTRAND AVE,AC,IND,40.68041,-73.950326
FLUSHING AVE,G,IND,40.700374,-73.950284
FLUSHING AVE,G,IND,40.700374,-73.950284
WINTHROP ST,25,IRT,40.656648,-73.950198
VAN ALSTON-21ST,G,IND,40.743973,-73.949876
116 ST,23,IRT,40.802098,-73.949625
116 ST,23,IRT,40.802098,-73.949625
CHURCH AVE,25,IRT,40.650843,-73.949575
MYRTLE-WILLOUGH,G,IND,40.694568,-73.949046
MYRTLE-WILLOUGH,G,IND,40.694568,-73.949046
BEVERLY ROAD,25,IRT,40.645089,-73.948975
HUNTERS PT AVE,7,IRT,40.74238,-73.948889
NEWKIRK AVE,25,IRT,40.639961,-73.948352
NEWKIRK AVE,25,IRT,40.639961,-73.948352
135 ST,BC,IND,40.817902,-73.947644
135 ST,BC,IND,40.817902,-73.947644
135 ST,BC,IND,40.817902,-73.947644
FLATBUSH AVE,25,IRT,40.632836,-73.947642
FLATBUSH AVE,25,IRT,40.632836,-73.947642
FLATBUSH AVE,25,IRT,40.632836,-73.947642
103 ST,6,IRT,40.790582,-73.947473
LORIMER ST,JM,BMT,40.703855,-73.947387
125 ST,23,IRT,40.808076,-73.945906
125 ST,23,IRT,40.808076,-73.945906
COURT SQ,7,IRT,40.747029,-73.94537
COURT SQ-23 ST,EMG,IND,40.747257,-73.945112
COURT SQ,EMG,IND,40.747257,-73.945112
COURT SQ,EMG,IND,40.747257,-73.945112
157 ST,1,IRT,40.833879,-73.944726
157 ST,1,IRT,40.833879,-73.944726
110 ST,6,IRT,40.795066,-73.944297
110 ST,6,IRT,40.795066,-73.944297
145 ST,ABCD,IND,40.824787,-73.944232
145 ST,ABCD,IND,40.824787,-73.944232
GRAHAM AVE,L,BMT,40.71459,-73.944104
GRAHAM AVE,L,BMT,40.71459,-73.944104
21 ST,F,IND,40.7541,-73.94258
KINGSTON AVE,3,IRT,40.669409,-73.942173
FLUSHING AVE,JM,BMT,40.700244,-73.941658
116 ST,6,IRT,40.798574,-73.941593
116 ST,6,IRT,40.798574,-73.941593
155 ST,C,IND,40.830551,-73.941486
135 ST,23,IRT,40.814459,-73.940992
135 ST,23,IRT,40.814459,-73.940992
KINGSTON-THROOP,C,IND,40.679921,-73.940858
KINGSTON-THROOP,C,IND,40.679921,-73.940858
GRAND ST,L,BMT,40.711874,-73.94067
GRAND ST,L,BMT,40.711874,-73.94067
QUEENSBORO PLZ,7NQ,IRT,40.750508,-73.940177
168 ST-BROADWAY,1AC,IND,40.840778,-73.940091
168 ST-BROADWAY,AC1,IND,40.840778,-73.940091
168 ST-BROADWAY,1AC,IRT,40.840778,-73.940091
MONTROSE AVE,L,BMT,40.707889,-73.940005
163 ST-AMSTERDM,C,IND,40.835957,-73.939898
175 ST,A,IND,40.847369,-73.939683
175 ST,A,IND,40.847369,-73.939683
155 ST,BD,IND,40.829934,-73.938632
181 ST,A,IND,40.851686,-73.937967
181 ST,A,IND,40.851686,-73.937967
125 ST,456,IRT,40.804406,-73.937452
QUEENS PLAZA,EMR,IND,40.748948,-73.937194
QUEENS PLAZA,EMR,IND,40.748948,-73.937194
148 ST-LENOX,3,IRT,40.823877,-73.936443
145 ST,3,IRT,40.820402,-73.936315
MYRTLE AVE,JMZ,BMT,40.697266,-73.935692
190 ST,A,IND,40.859022,-73.93419
181 ST,1,IRT,40.849495,-73.933632
MORGAN AVE,L,BMT,40.706148,-73.93316
CROWN HTS-UTICA,34,IRT,40.669279,-73.932967
CROWN HTS-UTICA,34,IRT,40.669279,-73.932967
BEEBE-39 AVE,NQ,BMT,40.753076,-73.93271
33 ST/RAWSON ST,7,IRT,40.744558,-73.930993
33 ST/RAWSON ST,7,IRT,40.744558,-73.930993
UTICA AVE,AC,IND,40.679279,-73.930585
UTICA AVE,AC,IND,40.679279,-73.930585
138 ST-GR CONC,45,IRT,40.813208,-73.929877
191 ST,1,IRT,40.855176,-73.929384
WASHINGTON-36 A,NQ,BMT,40.756977,-73.929373
KOSCIUSZKO ST,J,BMT,40.693329,-73.928826
36 ST,MR,IND,40.75202,-73.92874
36 ST,MR,IND,40.75202,-73.92874
CENTRAL AVE,M,BMT,40.697673,-73.927131
DYCKMAN-200 ST,A,IND,40.865286,-73.92698
149 ST-GR CONC,245,IRT,40.818429,-73.926927
149 ST-GR CONC,245,IRT,40.818429,-73.926927
138 ST-3 AVE,6,IRT,40.810512,-73.926165
